Entity,Code,Year,Annual CO₂ emissions (per capita),GDP per capita,417485-annotations,Population (historical estimates),Continent
Namibia,NAM,2018,1.7271277,9043.12,,2405682.0,
Nepal,NPL,2018,0.52034104,2727.4238,,28506718.0,
Netherlands,NLD,2018,9.176643,47474.11,,17286042.0,
New Zealand,NZL,2018,7.3792152,35336.137,,4838528.0,
Nicaragua,NIC,2018,0.7910878,4952.477,,6572234.0,
Niger,NER,2018,0.0794017,964.6601,,22577060.0,
Nigeria,NGA,2018,0.5304284,5237.662,,198387616.0,
North Korea,PRK,2018,1.8577725,1596.3517,,25638152.0,
North Macedonia,MKD,2018,3.326816,13074.231,,2113497.0,
Norway,NOR,2018,8.356611,84580.13,,5312321.0,
Oman,OMN,2018,15.769014,36477.637,,4601160.0,
Pakistan,PAK,2018,0.93323416,5510.3965,,219731488.0,
Palestine,PSE,2018,0.61577606,5207.757,,4805549.0,
Panama,PAN,2018,2.5851011,22637.148,,4165258.0,
Paraguay,PRY,2018,1.3204619,9338.948,,6443337.0,
Peru,PER,2018,1.7129294,12310.085,,32203946.0,
Philippines,PHL,2018,1.3063054,8139.1396,,108568832.0,
Poland,POL,2018,8.749628,27455.236,,38521464.0,
Portugal,PRT,2018,5.000966,27035.6,,10289833.0,
Qatar,QAT,2018,34.420223,153764.17,,2766743.0,
Romania,ROU,2018,4.10655,20126.293,,19606778.0,
Russia,RUS,2018,11.674742,24668.908,,145652288.0,
Rwanda,RWA,2018,0.10224078,1929.2852,,12531810.0,
Sao Tome and Principe,STP,2018,0.6240786,3730.2046,,211358.0,
Saudi Arabia,SAU,2018,17.881912,50304.75,,35018132.0,
Senegal,SEN,2018,0.7274772,2617.1245,,15574910.0,
Serbia,SRB,2018,5.9619856,14124.118,,7433825.0,
Seychelles,SYC,2018,5.8271527,29531.06,,103120.0,
Sierra Leone,SLE,2018,0.13190104,1683.8497,,7861287.0,
Singapore,SGP,2018,7.91461,68402.34,,5814543.0,
Slovakia,SVK,2018,6.628356,27075.535,,5446746.0,
Slovenia,SVN,2018,6.898,29244.92,,2105931.0,
South Africa,ZAF,2018,7.5905123,12165.795,,57339632.0,
South Korea,KOR,2018,12.968438,37927.61,,51676900.0,
Spain,ESP,2018,5.771329,31496.52,,46792044.0,
Sri Lanka,LKA,2018,0.97283787,11662.906,,21580712.0,
Sweden,SWE,2018,4.142262,45541.89,,10162300.0,
Switzerland,CHE,2018,4.3307433,61372.73,,8514431.0,
Syria,SYR,2018,1.5636046,3349.4597,,19333464.0,
Taiwan,TWN,2018,11.921131,44663.863,,23726186.0,
Tajikistan,TJK,2018,0.99782705,4440.382,,9128131.0,
Tanzania,TZA,2018,0.20290957,2874.963,,58090444.0,
Thailand,THA,2018,3.966176,16648.623,,71127808.0,
Togo,TGO,2018,0.27438483,1451.3608,,8046680.0,
Trinidad and Tobago,TTO,2018,26.801153,28549.408,,1504707.0,
Tunisia,TUN,2018,2.5137715,11353.887,,11933040.0,
Turkey,TUR,2018,5.102916,19270.22,,82809304.0,
Turkmenistan,TKM,2018,12.077687,26318.365,,6065072.0,
Uganda,UGA,2018,0.13563222,2045.4203,,41515400.0,
Ukraine,UKR,2018,5.2123866,9813.363,,44446952.0,
United Arab Emirates,ARE,2018,22.99939,76397.82,,9140172.0,
United Kingdom,GBR,2018,5.7159815,38058.086,,66432996.0,
United States,USA,2018,16.187923,55334.74,,332140032.0,
Uruguay,URY,2018,1.9173871,20185.836,,3427044.0,
Uzbekistan,UZB,2018,3.5890794,11220.37,,32449578.0,
Venezuela,VEN,2018,3.4424012,10709.95,,29825652.0,
Vietnam,VNM,2018,2.8891642,6814.142,,94914328.0,
World,OWID_WRL,2018,4.792753,15212.415,,7683789824.0,
Yemen,YEM,2018,0.34017542,2284.89,,30790514.0,
Zambia,ZMB,2018,0.4155687,3534.0337,,17835898.0,
Zimbabwe,ZWE,2018,0.7836386,1611.4052,,15052191.0,
