Entity,Code,Year,Annual CO₂ emissions,GDP per capita,Population (historical estimates)
Namibia,NAM,2021.0,4014822.0,9043.12,2405682.0
Nepal,NPL,2021.0,14173067.0,2727.4238,28506718.0
Netherlands,NLD,2021.0,141045420.0,47474.11,17286042.0
New Zealand,NZL,2021.0,33789824.0,35336.137,4838528.0
Nicaragua,NIC,2021.0,5059770.0,4952.477,6572234.0
Niger,NER,2021.0,2698898.0,964.6601,22577060.0
Nigeria,NGA,2021.0,136986780.0,5237.662,198387616.0
North Korea,PRK,2021.0,56380104.0,1596.3517,25638152.0
North Macedonia,MKD,2021.0,6851552.0,13074.231,2113497.0
Norway,NOR,2021.0,40918550.0,84580.13,5312321.0
Oman,OMN,2021.0,80991180.0,36477.637,4601160.0
Pakistan,PAK,2021.0,229512380.0,5510.3965,219731488.0
Palestine,PSE,2021.0,3092231.0,5207.757,4805549.0
Panama,PAN,2021.0,13031620.0,22637.148,4165258.0
Paraguay,PRY,2021.0,8576565.0,9338.948,6443337.0
Peru,PER,2021.0,56282000.0,12310.085,32203946.0
Philippines,PHL,2021.0,144263870.0,8139.1396,108568832.0
Poland,POL,2021.0,328579780.0,27455.236,38521464.0
Portugal,PRT,2021.0,40797216.0,27035.6,10289833.0
Qatar,QAT,2021.0,95667180.0,153764.17,2766743.0
Romania,ROU,2021.0,79326856.0,20126.293,19606778.0
Russia,RUS,2021.0,1755547400.0,24668.908,145652288.0
Rwanda,RWA,2021.0,1754532.0,1929.2852,12531810.0
Sao Tome and Principe,STP,2021.0,131978.0,3730.2046,211358.0
Saudi Arabia,SAU,2021.0,672379900.0,50304.75,35018132.0
Senegal,SEN,2021.0,13597910.0,2617.1245,15574910.0
Serbia,SRB,2021.0,30868986.0,14124.118,7433825.0
Seychelles,SYC,2021.0,568279.0,29531.06,103120.0
Sierra Leone,SLE,2021.0,1299404.0,1683.8497,7861287.0
Singapore,SGP,2021.0,32506890.0,68402.34,5814543.0
Slovakia,SVK,2021.0,35308216.0,27075.535,5446746.0
Slovenia,SVN,2021.0,12549330.0,29244.92,2105931.0
South Africa,ZAF,2021.0,435928900.0,12165.795,57339632.0
South Korea,KOR,2021.0,616075000.0,37927.61,51676900.0
Spain,ESP,2021.0,233649540.0,31496.52,46792044.0
Sri Lanka,LKA,2021.0,20780910.0,11662.906,21580712.0
Sweden,SWE,2021.0,35848948.0,45541.89,10162300.0
Switzerland,CHE,2021.0,34931692.0,61372.73,8514431.0
Syria,SYR,2021.0,27000770.0,3349.4597,19333464.0
Taiwan,TWN,2021.0,282856060.0,44663.863,23726186.0
Tajikistan,TJK,2021.0,10336408.0,4440.382,9128131.0
Tanzania,TZA,2021.0,13058865.0,2874.963,58090444.0
Thailand,THA,2021.0,278495700.0,16648.623,71127808.0
Togo,TGO,2021.0,2342020.0,1451.3608,8046680.0
Trinidad and Tobago,TTO,2021.0,36124040.0,28549.408,1504707.0
Tunisia,TUN,2021.0,31582746.0,11353.887,11933040.0
Turkey,TUR,2021.0,446204200.0,19270.22,82809304.0
Turkmenistan,TKM,2021.0,83006810.0,26318.365,6065072.0
Uganda,UGA,2021.0,5780464.0,2045.4203,41515400.0
Ukraine,UKR,2021.0,201857710.0,9813.363,44446952.0
United Arab Emirates,ARE,2021.0,204086660.0,76397.82,9140172.0
United Kingdom,GBR,2021.0,346773200.0,38058.086,66432996.0
United States,USA,2021.0,5007336000.0,55334.74,332140032.0
Uruguay,URY,2021.0,6737872.0,20185.836,3427044.0
Uzbekistan,UZB,2021.0,121631480.0,11220.37,32449578.0
Venezuela,VEN,2021.0,79746600.0,10709.95,29825652.0
Vietnam,VNM,2021.0,326013660.0,6814.142,94914328.0
World,OWID_WRL,2021.0,37123850000.0,15212.415,7683789824.0
Yemen,YEM,2021.0,12476597.0,2284.89,30790514.0
Zambia,ZMB,2021.0,7676180.0,3534.0337,17835898.0
Zimbabwe,ZWE,2021.0,11296114.0,1611.4052,15052191.0
